rating, date, color, configuration, verified_reviews
2.0,"February 15, 2020",Twilight Blue,with $40 Hue Smart Bulbs (color),"The Echo and the Philips Hue bulbs are sold as a package. Yet, the Echo could not discover the bulbs. I read latter, on the Philips website that these bulbs require a Philips hub or bridge. After sometime I called the Alexa tech support. They were quick to answer and we finally, after much trial and error, did get the bulbs paired with the Echo. A few days latter I had problems with the Echo sound crackling. Called Tech support again. Quick to answer. Had to reset the Echo. Discovered afterwards that with this reset the connection to the bulbs was lost. After much effort, Echo finally discovered the bulbs and back in business. I probably have about 4-5 hours in the efforts to pair the Echo with the bulbs so far. The bulbs have their own iPhone app that also control the bulbs. Philips updated the app and, once again, the connection was lost and Echo could not discover the bulbs. Called Tech support for third time. Again, quick to answer. But I am told I need a Philips hub. Well, I have already, through trial and error, paired them without the hub. This time, we could not get the bulbs paired. Now I have another 1-2 hours in trying to pair the bulbs to Echo. For the price of these bulbs this out not to be so difficult. This package should not be sold without the Philips hub. Or at least it should be clearly stated that one needs to purchase the hub when buying this package deal. The product description reads: Simple to set up - Easily connect these Philips Hue smart lights to Echo Dot (3rd Gen) via Bluetooth, no hub required. Just power on your light bulb and say “Alexa, discover devices”. ""NO HUB REQUIRED."" Yeah right! I sent everything back. I did receive all my money back. Thank you for that anyway."
5.0,"December 25, 2019",Charcoal,Echo,i had the 1st generation Echo that I bought from a friend in 2016. I loved it. The sound quality was amazing. It did amazing things. I played fun games on it. I got the weather. I set timers. I made shopping lists. I shopped on Amazon with it. Alexa woke me up. Alexa said good night. She turned on my lights and even set light timers for me. In time there won't be anything that we can't do with Alexa. She just keeps getting better and better and I have seen that progress since I first plugged her in back in 2016. I traded in my 1st gen Echo though Amazon. I told them the condition and right on the spot I had my trade in money to use towards the new 3rd gen Echo. They even gave me a shipping label to send it back to them and when they got it there was no issue with the trade in value I received. This new 3rd gen echo is great. The sound quality is far better than the 1st gen and that one sounded great regardless of how loud I played music. Alexa keeps getting better and am happy to have one.. well many now as I have one in each room. Highly recommended. It is life changing and the price is incredible for what you are getting and all the different ways you can use Alexa. I can't wait to see what happens next.
5.0,"October 20, 2019",Charcoal,Echo,Great sound quality! Love the hand free ability! Lots of family dance parties in the kitchen with the kiddos!
3.0,"December 25, 2019",Twilight Blue,Echo,"2020.02.14 update. I am downgrading my review from 5, down to 3 stars. The sound is amazing for such a small device. I wanted to use them with Amazon Music. I got the sub-woofer and two, to create a full sound stereo system. Again, the sound is amazing. Connecting them to smart tv's, non-Amazon mp3 players, or my vinyl turntable, though ... I have found to be impossible. Alexa is pretty dismal, too. She responds more to the tv shows playing than my own requests. And she nearly NEVER gets my ""Play this..."" request correct. I tried to return them, but I'm outside the return window. I'd recommend just purchasing a proper sound system with a sub-woofer. You'll be much happier. (I also canceled the free trial of Amazon Music.) I bought two of these little gems, with a sub woofer. I synced  them all together to create my own little home sound system. The deep base of the subwoofer really adds to the already well-balanced sound of the third generation devices. I’m not super excited about the voice recognition. I gave it four stars. I’m hoping that as these devices learn how I talk, and the technology gets better, it will be more smooth to use. Right now, Alexa only gets 2-3 out of five commands right. That’s frustrating! The sound, though... makes this purchase worth it."
5.0,"January 7, 2020",Charcoal,Echo,"It does pretty good recognizing what we say. We were able to put both of our Amazon accounts in it. For the size of the speaker, it actually sounds great. I was able to set up a voice command that controls all of the Christmas decorations in the house, which are spread out over 8 different Outlets. Turning them on and off became a house tour everyday. The adapter plugs were 4 for $20, relatively inexpensive. Next I'm going to replace one or two light switches, not all of them. Definitely the main one in the living room with the dimmer, so I can just dim the lights with a voice command. You don't have to buy expensive WiFi bulbs, you can actually replace the outlets and light switches if you want, or buy Outlet adapters if you only want one of the two outlets to be controllable. My only word of caution would be there that recordes everything you say after the Wake word, so you may want to go in now and then and delete your recordings. They say this will affect how well it recognizes your voice, but so far I don't see that happening. I have friends who use the Google and Siri products. They don't seem to work nearly as well as this does."
3.0,"February 5, 2020",Charcoal,Echo,"Hooked it up to my wifi and linked to my spotify. To my surprise you cant control spotify from the alexa app, linking accounts only enables you to say “alexa play X from spotify”. This means you cant browse your music or even adjust the volume without saying “alexa alexa alexa” like 5 times, big annoyance for me. You can connect the speaker via bluetooth which fixes the problem but introduces another problem. The speaker randomly disconnects, or stops playing music altogether. Since it wasnt good for music, i plugged it into my tv via aux, but when you play audio from the tv there is a 3-5 second delay when playing youtube videos every-time you click on a new video. To make matters worse its not even loud enough for a small living room. While this speaker does sound clear, it doesnt get loud enough. Music sounds like its coming straight up from the speaker as well, there is no feeling of “fullness”. considering this is advertised as a 360 speaker. Lastly there is no way to lower alexas’ voice volume, and for some reason her voice is louder than music playing through the speakers ...."
5.0,"February 19, 2020",Charcoal,Echo,"After receiving this thoughtful surprise gift from my husband, I somewhat hesitantly agreed to give Alexa a try.  I am not technology driven by any means, but after some initial training, I became friends with our new family member, Alexa.  I have used ""her"" service for learning the 7-day weather forecast, driving directions to almost anywhere, for answers to a myriad of questions (best homemade shower cleaner, recipe for broccoli soup, most popular baby names in the 50's - and on and on) There isn't much that this young lady doesn't know!  My absolute favorite use of my friend Alexa is to play songs of my choice.  I love to listen to music doing housework, while taking a shower and during any other activity that allows me access to this ingenious equipment.  There are songs I haven't heard in years that Alexa plays for me with gusto.  The ever-brilliant quality of Bose speakers supports and shares all of my favorites, from Jazz, swing, country, blues, holiday songs, show tunes, etc.  I could never own all of those requested cd's, but Alexa puts a smile on my face whenever she comes up with exactly the unique version of a song I am just dying to hear.  Alexa certainly makes dusting a lot more palpable - and she's gone from being an unwanted visitor in my home to a very welcomed addition to our family.  Alexa, take a bow!"
2.0,"January 6, 2020",Charcoal,Echo," Dissapointed that this device keeps freezing and becoming unresponsive most often when playing music. Amazon tech support recommendations were to reset the device which doesn't work. It fixes the problem in the moment but doesn't fix whatever the underlying issue is. I have not had this problem with any of my other amazon devices. If regularly unplugging and restarting your device isn't a problem for you then it's a great product. It's materials are good quality, sounds fantastic, looks great but I can not overlook its faults... especially if I can't trust it to play music while putting my toddler down for a nap."
4.0,"January 14, 2020",Twilight Blue,Echo,"I like the sound of the 3rd Generation echo. The base if very good and the high are also very good. It does seme to be a little slow at responding to its name compared to other echo devices like the 3rd generation dot. By feel, you can't tell the differences between the echo 3rd generation and the 2nd generation plus. This is coming from a totally blind person. I wish that the 3rd generation echo had a build in temp sensor so I could get the temp of the room like the 2nd generation Echo plus does. There isn't any reason it couldn't have this. My own thoughts! All the echos should have that ability."
5.0,"December 2, 2019",Sandstone,Echo,"wasn't very keen on any smart speaker. but we decided to buy one with black friday sale price. Was a bit worry about installation, activation, privacy, and what if it's a faulted product? all worries got cleared after we received the product. plugged in. downloaded alaxa app to the phone and connected the echo to wifi. it works beautifully. and it is fun to speak to a speaker to ask she to play a music. The music seems to be mostly working with amazon music.  I still can't figour out a way to ask alaxa to play the music in my phone. One advise to any new Echo users: it's very helpful & useful to google any question (how to... echo...) if you are unsure about how to make echo work."
5.0,"January 9, 2020",Limited Edition (RED),Echo,"This was a Christmas gift.  I did not want it, left it boxed for a few days, and generally wondered about sending it back without offending the gifter.  Then I un-boxed it.  30 minutes later I ordered another Echo for upstairs, and since then purchased a Sonos Beam with Alexa soundbar for our TV.  It's like an entire new world to us. As perspective, we use Siri for dictation and questions, but had a scary incident when the ""Hey Siri"" feature was first activated by Apple.  We discovered she was listening to us when Siri started replying to what she heard on TV.  So that feature got turned off  fast on our iPhones and iPads.  The fact that we can switch off Alexa's microphone is of great comfort to us.  But more importantly, the many things Alexa can do that greatly expands our electronic footprint and comfort zone was worth the effort.  We are happy campers.  I just wish Alexa would stop asking if we want to order more pet treats...we're afraid our pup will bark while we're out and who knows what we'll end up with."
5.0,"December 7, 2019",Heather Gray,Echo,"Sound Quality is an improvement to the 2nd gen echo. After about 2 weeks of moderate usage at 60-70% volume the speaker has sounded better than it did day one, as most speakers need time to break-in. Comparing it to the 2nd gen echo you can definitely hear a difference. There is a bit more low end compared to the 2nd however, I find the mid range to be more refined on the 2nd gen as the 3rd gen has more low end and high end sound. To get this straight. This speaker isn’t meant to provide room filling rich sound as it is only a single firing 3 inch woofer and a tweeter enclosed in a compact plastic housing. If your looking at rich sounding sound docks, bose soundtouch 20 or 30 would fulfill that much better and even though those are more room filling as well, audiophiles will still find it much suited to having an actual speaker and amp setup. I myself am considered an audio snob and I love playing around with audio equipment. I’m not going to compare the echo to a proper 7.2.2 channel setup but compare it to speakers in its class. Being that this is an Amazon Alexa Device it is a very useful tool in addition to your smartphone. I currently have 6 echos throughout the house and they do what they are supposed to do and that is having voice commands for lights and even notifications for your ring system as well as other smart devices you link to your Alexa account. Having the ability to connect Bluetooth to your phone is great as well if your not looking for a portable battery powered Bluetooth speaker. My main reason for purchasing this echo is the new speaker which attracted me to purchasing this and I mainly use it only in the kitchen as having background music and being able to control lights and sound while working on other things. Sound is great for the kitchen and it is plenty loud enough with very balanced sound and I find the bass to be good for it’s size. I would like to put my bose soundtouch in the kitchen but it takes up too much room and I can just place this in a corner and it’s compact enough that you won’t have to worry about knocking it over. However I have setup my echo dot onto a sound dock and linked the multi room audio so I can have music playing through Apple Music in all rooms through the echos which I think is what sets this speaker apart from let’s say the much more expensive Sonos or Bose Soundlinks. Only downside I wish I could do is have Bluetooth work with multi audio instead of having to play playlists or through other streaming services on the echo."
3.0,"January 23, 2020",Charcoal,Echo,"I have 8 Echo Gen 3 speakers with 4 Echo Sub woofers covering 4 rooms.  Each room has the two Gen 3 speakers in stereo mode + sub woofer.  The stereo configuration with the sub woofer makes a HUGE difference in the sound quality. The sound is comparable to that of Sonos devices at a fraction of the cost. Setup can be a bit flaky but eventually does work.  Whole house audio on Eero mesh wireless is hit or miss but that was a secondary benefit for me.  If that is a primary reason for purchasing for you that could take this review to a one star.  Sometimes Amazon sees devices on different access points as being available to one another.  Sometimes it doesn't. The only thing that really ""gets my goat"" is the lack of gapless playback.  Isn't all that important for most listening but when it is important it is a must have. I.e. Pink Floyd, Classical music, Live recordings, white noise recordings. Silence between tracks of audio that is meant to be have no gaps is unacceptable.  I've been using digital music since the mid 90's and have always had the option of playing gapless.  Yahoo had this down way back then but Amazon can't get it done?  It is 2020.  Right? Also had to buy two of the Gen 3's from another source because Amazon limits a personal account to purchasing six without switching to a business account.  I don't understand why (other than profit) they do that.  I'm a retail customer wanting to purchase a reasonable amount of speakers for my personal use.  I should have been able to order all eight of my speakers at one time from Amazon."
3.0,"December 26, 2019",Charcoal,Echo,"I ordered the new third generation Echo on Black Friday. What upset me right off the bat is that it was shipped to me in a flimsy Tyvek envelope. No extra packing for protection. As for the unit itself, it  is very similar to the second generation Echo. The sound is a little bolder with more base response. The only issue, so far, is with the end of request response sound when it is switched on in settings. For no apparent reason, it occasionally blares at full volume at the end of request response. The only remedy is to turn off the end of request sound in settings. No such issue with my first and second generation Echoes."
2.0,"December 30, 2019",Twilight Blue,Echo,"So I ordered two of these echos and 1 sub for 2.1 home theater surround sound. Big fan of amazon products. Very disappointed with the home theater set up and if your buying for that purpose, it’s not worth it. I’m running on 5ghz. There is always an issue. One side it working and the other isn’t. Then it swaps, then they both work but the sub is not working. If you watch tv in the early mornings like 5-6am, forget about it. No sound because the devices are unreachable for some reason. Then you have to unpair and pair them again(some devices would still show unreachable. Then you gotta unplug device and plug again). There are set up in my living room where my WiFi is. My point is that it’s not seamless connect, since I got it I’ve always been playing around with it to make it stay connected. Gotten to the point where I disconnected it and just hearing sound through my TV. Thinking about returning an echo and sub as I don’t need two echos and I’m not going to have a sub laying around for no reason. Oh and to connect musics, forget about it. The app is horrible for music. I can’t even choose a song from my Apple Music to play. I had to create a playlist for amazon on my Apple app and in the amazon app I can’t even choose the song I want to play or even shuffle the music! This is a complete fail and amazon let me down on this one. The sound on the echo itself is decent."
5.0,"February 10, 2020",Twilight Blue,Echo,"I have two Sons systems, one in each of my houses and I can tell you that this little Echo speaker sounds just as good, maybe a tad lacking in the highs, as the Sonos One. If there was a way to add these Echos throughout the house, I would replace Sonos immediately. The Songs app is unbelievably bad and ruins the whole experience. Now we have one Echo 3rd get in the kitchen and a 2nd get in the master bath and to be able to play music out of both is pretty awesome, the intercom feature is cool, and making phone calls hands free is such a convenience. Amazon is headed the right way with Alexa and Echo. I don't care that they are listening in on me. People get so petrified of that. Who cares? I'm not important. Nobody cares what I have to say. If they want to listen to me, let them. Both speakers have a mute button so you can turn off Alexa from hearing what you say. I never use it. Overall good experience from both speakers."
5.0,"November 4, 2019",Charcoal,Echo,"My husband is visually impaired and has been since 2000. Anything that can make his life easier is so worth it and now we have Alexa. She reads the news for him every morning she sets timers when he’s cooking. Well, you can imagine the things she can do for him because reading is such a problem. This is an amazing tool for both of us and the possibilities are endless. I would highly recommend an Echo for everyone."
1.0,"November 24, 2019",Sandstone,Echo,I had the first gen and I used it in my music room to be able to Bluetooth songs from time to time but then it broke so I replaced it with this and the sound on this is sooo low even at full volume that my iPhone speakers is louder.
5.0,"January 6, 2020",Twilight Blue,Echo,"The sound quality is noticeably better than the Echo Dot. It was very easy to set up as it was shipped pre-configured for my account. Very much a plug and play device. The downloadable app is worth adding to a smartphone as it allows for additional configuration and tools for smart home. Placed the Echo in my bedroom to help with morning and evening routines. It is my first Echo device and have found the convenience of the functions to be both good utility and fun technology to use. Set up a routine to turn out the lights, say the weather forecast for the morning commute, and play music to fall asleep to. Then another routine to wake up to an alarm, turn on the light at 50% brightness, say the current weather and traffic, a daily briefing of selected news, then play motivational music to wake up. Makes it harder surf the snooze buttons on the alarm clocks. The utility is much more than just a speaker. No issues with shipping or the device."
5.0,"January 25, 2020",Charcoal,Echo,"I have been using Amazon, Google, and Apple smart assistance side by side for 3 years now, and although non of them is perfect, believe me each one of them has faults and advantages over the other, Amazon Alexa for me is by far the most useable, not the smartest, one of all of them, it is easy to set , and has the most diverse array of uses among all of them, many people think by having a smart speaker suddenly you must have a start trick advanced experience , guys this is coming in about 100 years in the future , for now enjoy these small steps your pioneering and make the most of this wonderful time with something like Alexa.  Now I have owned the last model of echo, not the dot which is for me is really a terrible one on its own, this model is a really much better speaker with a full sound a $100 can buy, yes there are far better speakers but who listen to those everyday, for me a really good sound that fell a mid size room is what most of us want. It is nice looking , it sound nice , and Alexa is nice most of the times, so I am happy."
5.0,"December 4, 2019",Heather Gray,Echo,"I’ve tried the new echo dot. It looks better than original, but Alexa, sounded muffled to me. I kept the new dot with clock as it serves as my clock in a small footprint. I am glad I took a chance on the echo 3rd gen. I actually ordered two additional without hearing this. I just received it today and my hard to please self is very pleased with the sound! I see reviews that sonos is better, HomePod is better, but really? How can you compare echo to devices that are multiple times the cost. I am hard to please with my devices, and am an Apple guy. However I’ve had dots for a couple years and like Alexa. I will keep Apple for mobile devices. For easy to place speakers the house I will use Echo s,art speakers. After re-reading this review, I think I will order a fourth one now since it is still priced so well. Amazon, give a sale price on the sub and I will gladly purchase."
4.0,"January 13, 2020",Sandstone,with $10 Smart Plug,"Alexa does music better than any other system. She's not that good at finding a song based on lyrics, but everything else works. The sound of my Echo is incredible to the point where I am still considering keeping the one I bought for my wife for myself. I want stereo. I listen at night before I go to sleep and love being able to listen to all the songs I've loved for some time now. As for controlling other items, this started out a little bumpy, with the smart plug I bought. I initially felt sorry for those controlling their whole house with smart devices for Alexa to control. Over time though, the smart plug started working better to the point where now it works 100% of the time.  This took about 1 week and the plug was promptly replaced by Amazon once. Google still trumps Alexa for complex questions though. Let's face it: Alexa likes to order things from Amazon!"
5.0,"January 21, 2020",Sandstone,Echo,"I have two 3rd gen Echo's. The first I set up in the kitchen and use it multiple times daily for weather, news, misc info, but mostly for music. The sound quality, especially the bass,  of the 3rd gen is really good and an improvement over previous Echo's I had experience with. My second Echo (the Sandstone) I rec'd as a gift from my son who suggested I locate it across the kitchen from the first 3rd gen Echo so I could listen to my music in stereo. O.k., what's not to like about that? Not only did I like it, I clap my hands do a little dance, loved it. Wow, the separation and sound quality I now have in my kitchen brings me such happiness while I listen to my favorite tunes as I go about my cooking and kitchen chores. I realize my 3rd gen Echo is capable of so much more than I tap in to, but for me, for now, I am very happy to have it to bring requested info, news, and musical joy to my day."
4.0,"November 9, 2019",Twilight Blue,Echo,It’s fine. It’s an Echo so don’t expect it to be an awesome speaker. It does well what it’s designed to do which is fine. I can tell a little bit of an upgrade from my previous 1st generation as far as the sound however it’s not what I use to give me great room filling sound. I happened to purchase it when trading in my old one and getting an extra few bucks off with that so it seemed like a good deal.
5.0,"December 27, 2019",Charcoal,Echo,"Generally Alexa is fairly good at finding more common music from a more recent era but a bit rusty on years gone by. She might recognize ""Blue Skies"" but not ""Boulevard of Broken Dreams"". She fails at Classical Music as well. I prefer to send her to my Pandora collections because I know what type of music I will get. She does well with Broadway though! Since she is coming into the house by Wi-Fi connection, I wish she could play my music on my Windows 10 computer like she does for Pandora when we set her up. App setup for Windows 10 computers from Amazon does not work and produces errors which technicians do not solve and wish to sell technical services from $150. The Alexa App is free from the Microsoft store, installed by me after I declined their help and my unit works well on all my devices - computers, cell phones, Fire HD's and tablets."
5.0,"November 6, 2019",Twilight Blue,Echo,"The newest iteration of the vanilla Echo has much better sound than the previous generation. I would say it's definitely more of an upgrade from 2nd to 3rd generation in terms of sound than there was between 1st and 2nd. I love the Twilight Blue color, but I do have one question: since the new Echo is the same size and form factor as the Echo Plus (2nd Gen), why not offer that device in the new color? Seems like it should be incredibly easy to do so."
5.0,"November 2, 2019",Twilight Blue,Echo,The bass is amazing. I like the size and audio sound quality. Makes for a great speaker. Next I'm going to try and integrate it with my TV. I'm replacing my two dots with this 3G.
3.0,"February 7, 2020",Limited Edition (RED),Echo,"I was really shocked when I got the third generation red Echo. It appeared to have the same fabric as the second generation red, and I didn't notice the white top when I ordered. When I took it out of the box, I was struck by its cheap look. I bought this for my living room, but it is so ugly that I don't want to use it in there. The second generation red had some variation in the color that made the fabric look much richer. This very plain solid fabric and the domed white plastic top make this so tacky-looking. It reminds me of a plastic gumball machine. I attached a picture of the two items next to each other. I just wanted to let people know if you think you are getting the nicer-looking second generation style of Echo you are not. The third generation makes the previous model look elegant by comparison."
5.0,"January 14, 2020",Charcoal,with $10 Smart Plug,"This Echo came with a Smart Plug as a bundle thus saving me lots of $$$. Set up was a breeze with the Amazon Alexa App; the same for the Smart plug as well. How cool is this - when I leave or enter my home; I say, ""Alexa turn off the light."" or ""Alexa turn on the light."" I start my day by asking Alexa for the weather; it actually saves time because I don't have to watch TV or go Online for a weather report.  I really enjoy asking Alexa to play my favorite music; the speaker does sound awesome. I gotta admit the darn device is fun! I'm glad I purchased it. Update: lov'n it, so much fun! Yes, you can delete your speaking history via the Alexa App by going to settings, Alexa Privacy, then Review Voice History - ""Enable Deletion by Voice.""  It's that easy or you can do it manually if you prefer."
5.0,"December 17, 2019",Limited Edition (RED),Echo,"I just received my All-new Echo (3rd Generation)- Smart Speaker with Alexa, (RED) edition! I am excited to have a larger Echo, and in the Limited Edition Red! It looks great in my  bedroom and the sound is awesome for such a small device! I got addicted to the even smaller Echo Dots a few months back and now have 9 of them scattered throughout my home, shop and garage. These darn things seem to be multiplying, somewhat like tribbles! So now I have the regular ""mommy"" sized Echo and a 2nd Red one on the way! I am really enjoying all of these Echo's, and I love this Red one! The red is not as deep looking as what is on the ad, but it is attractive. It's got kind of a coral tinge to it, but it brightens up my room. I'm planning on using the other red one on the other side of my new TV!"
3.0,"January 19, 2020",Heather Gray,Echo,"Sound quality is pretty good for such a small inexpensive smart speaker.  Seems to understand my voice relatively well, but not perfectly... but good enough.  Alexa, as per usual, continues to be very mediocre with understanding phrases.  As a result, I only really use Alexa for playing music and checking the weather (which it does adequately).  If you want to ask Alexa anything remotely complex, such as fact-finding or helping you figure something out, 9 our of 10 times she fails.  The exception to this, of course, is anything related to purchasing via Amazon.  It becomes quickly obvious that this device is expertly optimized to help you spend more money on Amazon, faster. One issue I had with this speaker is that it would stop playing new songs after completing one song (e.g. would not advance to the next song on its own).  This spontaneously resolved itself after a few weeks, and the cause/solution remains unknown."
5.0,"December 29, 2019",Charcoal,Echo,"This is our second Echo unit since the first one ended up in my 18 years old boy's room after couple of weeks of sitting in the kitchen.  I think the 3rd gen. sounds even better than the previous one was. More bass, more depth to the overall sound. The only thing came right off as a negative impression was the shape. The 2 gen. was a sleek, very stylish piece of electronics that you could easily blend in with your other stuff in any room in the house. The fabric that covered the speakers and the shape of the tower itself gave you more opportunity to place it among anything basically. This one is chubbier and a bit duller. It's not a deal breaker at all, just an observation. I guess the better sound quality means bigger speaker units means increased circumference means chubbier looks. Besides the difference in the aesthetics it is a great product!"
1.0,"January 7, 2020",Charcoal,Echo,"Before I write my review let me say that I install over 300 Amazon echos every year for my company in brand new homes. I even own 9 Amazon echos in my own home and vehicle. Prior to using this Amazon Echo 3rd generation I had Amazon Echo 2nd generation speakers in my living room set up as a theater system group. They worked great! Each Echo had a different wake up work so I can speak to that particular Amazon Echo. One Amazon Echo was set up as left speaker and one was set up as right speaker.  I decided to upgrade my Amazon echos to the 3rd Generation Amazon Echo. After setting them up the same way I had my 2nd generation setup I can tell you that I am completely dissatisfied. although these speakers works great in a theater group when watching TV, use the wake up word Alexa to call my right Amazon Echo the light ring will respond but the echo with the Wake word Echo response verbally instead. If I remove the Amazon echos from the theater group The correct Echo will respond. I contacted technical support and they are completely clueless.  I then decided to test out my whole house group that I use quite often to play my music in every room. Most of the time my speakers don't respond at all and they don't play music. if they do respond , only 1 Amazon Echo plays the music even though these Amazon echos are in the same group that I asked to play. When I tried to tell them to stop , they acknowledge me speaking to them but do not stop playing the music. It became extremely frustrating to the point where I was yelling at my echo With no response. Amazon really needs to go back to the drawing board on this 3rd generation and fix their bugs."
4.0,"January 9, 2020",Limited Edition (RED),Echo,"The sound is good, I sometimes wonder if I should have gotten the speaker with the sub, but good sound for what I did order. I spent three days trying to get Alexa to play ""Deadmen"" By Saint PHNX, a song I purchased. Even if I had not bought it she would not have played it. Kept wanting to play ""Deadman Walking"" by IDK and IDC. So if I had prime she would have queued that up every time. Finally, while almost placing my mouth on her, Alexa figured it out on the third day. But also it is in my only playlist, that I play, then it stops after like 10 songs. I do think Amazon is trying to gaslight me into buying prime for better use of my Echo. She does do well answering questions, turning on devices, playing what music I can get out of her though."
5.0,"January 6, 2020",Sandstone,Echo,"I have a Dot in nearly every room, many of them grouped for stereo and an Echo Sub. As this new Echo (3rd gen) was released, I got excited by learning the previous version, the Echo Plus, was compatible to group for stereo. So I purchased this and another Echo Sub and set it up in what we call our yoga room. It’s been great and I find myself just sitting in the room to listen to music. All that said, the Alexa service isn’t perfect yet. She has moments of inoperability and it’s super annoying when Alexa doesn’t hear you correctly or just stops playing altogether. But that is a different issue than the hardware. This speaker is great and I recommend it. (Note: This speaker does not have the hub feature, so get the Echo Plus if that’s what you require.)"
5.0,"December 5, 2019",Twilight Blue,Echo,"I got my first Echo as a gift from my brother, and I was extremely impressed with it. As a legally blind person, I can't use my laptop anymore, so the first Echo was a godsend. It helps me to find information, listen to podcasts, music and books, and play games and educate my s of in different ways, and easily order items I might need. The first device died after 5 years of use, and after some collaborations, I was able to gather enough gift cards for a replacement. I picked up the Echo 3rd gen, and I'm very happy. It's loud enough to drown out the neighbor's loud music and my roommates' Fox News; it's clear enough that I can hear my podcasts without straining, and it's just as easy to use as the original. Definitely worth the price. 10/10."
4.0,"December 25, 2019",Charcoal,Echo,"A little buggy. Has trouble switching between different devices streaming to it. Had to delete and reinstall the app to get it to work with my TV.  I have both the Echo and the Dot and the multi-room music works well. Only complaint right now is that there is no integration with YouTube Music. I can't have Alexa play music from YouTube Music without streaming directly from my phone,  which defeats the purpose.  Amazon's unlimited music service is less than half the cost of YouTube Premium, so that's a good reason to switch I guess- but then I lose the ability to watch ad-free videos on YouTube.  Maybe I just talked myself into it.  I don't really watch YouTube videos. I'll probably check out the library on Amazon Unlimited Music and see if it compares."
5.0,"January 1, 2020",Twilight Blue,Echo,I have been enjoying Alexa devices for a few.mo the now. My first was a Echo Gen 2 and I love it. Then I was able to get a great deal on the Twilight edition Echo Gen 3 and am so glad I did despite the delay in deliver of the item. My kids also enjoy Alexa. The Echo had wonderful sound and we enjoy finding new skills that are useful and fun. Yes not all skills work well but you can always disable skills that don't work well for you or end up not being what you expected. Alexa is always learning new things and it is fun to figure out what new features and skills are coming up to add onto what you already enjoy about Alexa. My daughter and I also really enjoy using the drop in feature so we can call each other from different floors in the house.
4.0,"December 30, 2019",Sandstone,Echo,"I am not a tech type person at all.  I like music and happen to think of songs often and wonder who the artist is or want to hear the song, for this reason I give this little device rave reviews.  I am not all concerned with invasion of privacy much as all things have invaded and negatively impacted our privacy and health- nothing is as it seems, may as well enjoy some perks while getting the shaft.  The sound is great in a space of 500 sq ft., is responsive to my voice but I don't make request like I am talking to a human, there's no kids yelling to it, my house is quiet which may impact how Alexa software responds.  It's a new concept/device and as with most new things, it's not perfect.  And with all man-made things, it never will be."
3.0,"January 8, 2020",Twilight Blue,Echo,"Seems I got a lazy one. Sometimes it will give me a very detailed answer from Wiki or Google or some newspaper, but most of the time, it is too lazy to really look into what I'm asking about. I get a lot of ""Sorry. I don't know that."", or ""I'm not sure"". Occasionally, it will say, ""I'm working on refining my knowledge base"", but I think that's a cop out. I do like the music. Of course, that costs extra, as do most of the really cool things I would want to do. Also, it seems easily confused. I don't know: Maybe this one has baggage from not getting along with the other Alexa's in the warehouse."
5.0,"November 30, 2019",Charcoal,Echo,Upgraded my Echo 2nd generation for this 3rd generation so I could stereo pair this with a 2nd generation Echo Plus. The difference in just having a two Echos in a group and them being in a STEREO pair is amazing! The separation of left and right channels produces beautiful sound for the money!
5.0,"January 3, 2020",Charcoal,Echo,"I've had an echo dot (2nd gen) for awhile, so I was already accustom to interfacing with Alexa.  I used the dot primarily as a music player, and had it plugged in to a boombox-type of unit to improve the sound quality.  After reading about the Echo smart speaker's sound quality, I decided to give it a try.  I was immediately very pleased with the sound quality, and after doing a side-by-side comparison with the echo-dot-and-boombox arrangement, the new Echo smart speaker quickly replaced my former setup.  It has surprisingly good bass performance, considering its size, and reminds me of the sound quality of what I would call a ""table radio"" (for those old enough to remember such things).  All in all, I am very happy with this item."
1.0,"December 11, 2019",Charcoal,Echo,"I spoke with someone via chat about the 4 echo's I purchased and they are rude, not helpful and very impolite!!!!! Ashish | Customer Service Maragadham | Customer Service What happened Amazon??? you always have nice polite and very helpful agents, but today I had the worst experience. I am shocked!!!!!"
5.0,"January 31, 2020",Twilight Blue,Echo,"Ok, having several 2nd generation Echo's I was curious to what the difference would be.  First the size difference is slight but the 3rd gen is slightly larger, thus a little heavier but you are not really carrying it around. Testing it out for a few hours after receiving it last night I found that the bass was deeper and I would say a little richer but like the 2nd gen pretty great sound. I paired it to one of the 2nd gen's and I really lost some of the quality increases but I figured that would be the case when pairing to an older device.  I really don't like replacing things that aren't broke but if I were starting from scratch with what AMAZON has I would have to 3rd gen and the sub woofer ... but that may just be me."
1.0,"February 1, 2020",Charcoal,Echo,"So I was hoping I could plug my non-bluetooth High Res Mp3 player into this, because it is ADVERTISED as having line-in capability. Nope. Regifting time. For what it's worth, I have plugged this player into literally every line-in situation you could think of and never had a problem. This may not effect the majority of people who only listen to music on their phones, but it does effect people who have their own off-phone/offline music libraries. It seems to me like the older models did offer this, but even the ""AUX"" function in the setup for the 3rd gen has disappeared now. Disappointing, for a $100 item to get rid of such a basic functionality while still ADVERTISING that it has a LINE IN. It DOES NOT have a line in. Period. I read and re-read the specs before I broke the seal on the box, too. ""Line-In/Line-Out"" .. False advertising!"
